Shape_Length,Shape_Area,OBJECTID,OID_,COUNT,AREA,min_x,min_y,max_x,max_y
79.999904493171101,399.999044929414310,1,1,14531.000000000000000,399.933952109391214,570695.383500000461936,6561342.022499999962747,570719.158900000154972,6561365.797899999655783
79.999981099773322,399.999810995255586,2,2,14537.000000000000000,400.099088969390948,570714.931599999777973,6561337.795199999585748,570738.707000000402331,6561361.570600000210106
80.000099975098635,400.000999748227969,3,3,14534.000000000000000,400.016520539391081,570734.479799999855459,6561333.567900000140071,570758.255199999548495,6561357.343399999663234
79.999981099379625,399.999810991318668,4,4,14533.000000000000000,399.988997729391144,570754.027900000102818,6561329.340699999593198,570777.803299999795854,6561353.116100000217557
79.999904494597956,399.999044943682975,5,5,14533.000000000000000,399.988997729391144,570773.576100000180304,6561325.113400000147521,570797.351499999873340,6561348.888799999840558
80.000218851821501,400.002188521208495,6,6,14531.000000000000000,399.933952109391214,570699.610700000077486,6561361.570600000210106,570723.386199999600649,6561385.346099999733269
79.999904494991654,399.999044947619950,7,7,14533.000000000000000,399.988997729391144,570719.158900000154972,6561357.343399999663234,570742.934299999848008,6561381.118800000287592
80.000023370710679,400.000233704529251,8,8,14532.000000000000000,399.961474919391151,570738.707000000402331,6561353.116100000217557,570762.482499999925494,6561376.891499999910593
79.999904495385351,399.999044951556868,9,9,14532.000000000000000,399.961474919391151,570758.255199999548495,6561348.888799999840558,570782.030600000172853,6561372.664200000464916
80.000218852215198,400.002188525145471,10,10,14536.000000000000000,400.071566159391011,570777.803299999795854,6561344.661500000394881,570801.578800000250340,6561368.436999999918044
79.999904493171101,399.999044929414310,11,11,14534.000000000000000,400.016520539391081,570703.838000000454485,6561381.118800000287592,570727.613400000147521,6561404.894199999980628
79.999981098666211,399.999810984184307,12,12,14533.000000000000000,399.988997729391144,570723.386199999600649,6561376.891499999910593,570747.161600000225008,6561400.666899999603629
80.000099974385222,400.000999741093608,13,13,14536.000000000000000,400.071566159391011,570742.934299999848008,6561372.664200000464916,570766.709699999541044,6561396.439699999988079
79.999981098272499,399.999810980247389,14,14,14534.000000000000000,400.016520539391081,570762.482499999925494,6561368.436999999918044,570786.257899999618530,6561392.212399999611080
79.999904494991668,399.999044947619893,15,15,14533.000000000000000,399.988997729391144,570782.030600000172853,6561364.209699999541044,570805.805999999865890,6561387.985100000165403
80.000023371104390,400.000233708466169,16,16,14536.000000000000000,400.071566159391011,570708.065299999900162,6561400.666899999603629,570731.840699999593198,6561424.442400000058115
80.000099975812077,400.000999755362272,17,17,14532.000000000000000,399.961474919391151,570727.613400000147521,6561396.439699999988079,570751.388899999670684,6561420.215099999681115
79.999827889993554,399.998278901786875,18,18,14532.000000000000000,399.961474919391151,570747.161600000225008,6561392.212399999611080,570770.936999999918044,6561415.987800000235438
80.000099976205789,400.000999759299191,19,19,14531.000000000000000,399.933952109391214,570766.709699999541044,6561387.985100000165403,570790.485199999995530,6561411.760499999858439
80.000023372211501,400.000233719537505,20,20,14534.000000000000000,400.016520539391081,570786.257899999618530,6561383.757799999788404,570810.033300000242889,6561407.533300000242889
79.999904494278240,399.999044940485589,21,21,14534.000000000000000,400.016520539391081,570712.292600000277162,6561420.215099999681115,570736.067999999970198,6561443.990500000305474
79.999981099379639,399.999810991318668,22,22,14531.000000000000000,399.933952109391214,570731.840699999593198,6561415.987800000235438,570755.616100000217557,6561439.763199999928474
80.000099976599472,400.000999763236223,23,23,14536.000000000000000,400.071566159391011,570751.388899999670684,6561411.760499999858439,570775.164300000295043,6561435.536000000312924
79.999981097559072,399.999810973113028,24,24,14536.000000000000000,400.071566159391011,570770.936999999918044,6561407.533300000242889,570794.712399999611080,6561431.308699999935925
79.999904493884543,399.999044936548614,25,25,14533.000000000000000,399.988997729391144,570790.485199999995530,6561403.305999999865890,570814.260599999688566,6561427.081399999558926
