point,nir,class,site
31,0.0424531,non-shadow,NSABHC0009
32,0.0324877,non-shadow,NSABHC0009
33,0.0337106,non-shadow,NSABHC0009
34,0.0451555,non-shadow,NSABHC0009
35,0.039217,non-shadow,NSABHC0009
36,0.0326041,non-shadow,NSABHC0009
37,0.0253905,non-shadow,NSABHC0009
38,0.0472343,non-shadow,NSABHC0009
39,0.0419851,non-shadow,NSABHC0009
40,0.0483533,non-shadow,NSABHC0009
41,0.041246,non-shadow,NSABHC0009
42,0.0431255,non-shadow,NSABHC0009
43,0.0310814,non-shadow,NSABHC0009
44,0.0428978,non-shadow,NSABHC0009
45,0.0365324,non-shadow,NSABHC0009
46,0.0450166,non-shadow,NSABHC0009
47,0.0244367,shadow,NSABHC0009
48,0.0482728,non-shadow,NSABHC0009
49,0.0442962,non-shadow,NSABHC0009
50,0.0437638,non-shadow,NSABHC0009
51,0.0485233,non-shadow,NSABHC0009
52,0.0285171,shadow,NSABHC0009
53,0.0428256,non-shadow,NSABHC0009
54,0.0488296,non-shadow,NSABHC0009
55,0.0312672,non-shadow,NSABHC0009
56,0.0423955,non-shadow,NSABHC0009
57,0.0443086,non-shadow,NSABHC0009
58,0.0277286,shadow,NSABHC0009
59,0.0246464,non-shadow,NSABHC0009
60,0.0281878,non-shadow,NSABHC0009
61,0.0463852,non-shadow,NSABHC0009
62,0.0385805,non-shadow,NSABHC0009
63,0.0351305,non-shadow,NSABHC0009
64,0.0421733,non-shadow,NSABHC0009
65,0.0277216,shadow,NSABHC0009
66,0.0486255,shadow,NSABHC0009
67,0.0423056,non-shadow,NSABHC0009
68,0.0355617,non-shadow,NSABHC0009
69,0.02128,shadow,NSABHC0009
70,0.0265888,shadow,NSABHC0009
71,0.0264779,non-shadow,NSABHC0009
72,0.0320267,non-shadow,NSABHC0009
73,0.0416582,non-shadow,NSABHC0009
74,0.0436013,non-shadow,NSABHC0009
75,0.0384381,non-shadow,NSABHC0009
76,0.0495173,non-shadow,NSABHC0009
77,0.0354194,non-shadow,NSABHC0009
78,0.0406627,non-shadow,NSABHC0009
79,0.0417828,non-shadow,NSABHC0009
80,0.0489845,non-shadow,NSABHC0009
81,0.033052,shadow,NSABHC0009
82,0.0438515,non-shadow,NSABHC0009
83,0.0280375,non-shadow,NSABHC0009
84,0.0446556,non-shadow,NSABHC0009
85,0.0297011,non-shadow,NSABHC0009
86,0.0297571,shadow,NSABHC0009
87,0.0456322,non-shadow,NSABHC0009
88,0.0361418,non-shadow,NSABHC0009
89,0.0414348,non-shadow,NSABHC0009
90,0.0454397,non-shadow,NSABHC0009
91,0.0288848,shadow,NSABHC0009
92,0.0395817,non-shadow,NSABHC0009
93,0.0483353,non-shadow,NSABHC0009
94,0.0380216,non-shadow,NSABHC0009
95,0.0498982,non-shadow,NSABHC0009
96,0.0497441,non-shadow,NSABHC0009
97,0.0374397,non-shadow,NSABHC0009
98,0.045715,non-shadow,NSABHC0009
99,0.0463287,non-shadow,NSABHC0009
100,0.0371351,non-shadow,NSABHC0009
1,0.047913,shadow,NSABHC0012
2,0.0128391,shadow,NSABHC0012
3,0.0481803,non-shadow,NSABHC0012
4,0.0449114,shadow,NSABHC0012
5,0.0453428,non-shadow,NSABHC0012
6,0.0365504,shadow,NSABHC0012
7,0.0205342,shadow,NSABHC0012
8,0.0419442,shadow,NSABHC0012
9,0.0441491,shadow,NSABHC0012
10,0.0434169,non-shadow,NSABHC0012
11,0.045343,shadow,NSABHC0012
12,0.0401924,non-shadow,NSABHC0012
13,0.0366005,shadow,NSABHC0012
14,0.0421151,non-shadow,NSABHC0012
15,0.0358455,non-shadow,NSABHC0012
16,0.0214177,shadow,NSABHC0012
17,0.0486817,non-shadow,NSABHC0012
18,0.0374763,non-shadow,NSABHC0012
19,0.0449808,non-shadow,NSABHC0012
20,0.0467263,non-shadow,NSABHC0012
21,0.0381388,non-shadow,NSABHC0012
22,0.049916,non-shadow,NSABHC0012
23,0.0425561,non-shadow,NSABHC0012
24,0.046606,shadow,NSABHC0012
25,0.0437943,shadow,NSABHC0012
26,0.0405356,non-shadow,NSABHC0012
27,0.0453273,shadow,NSABHC0012
28,0.0489735,non-shadow,NSABHC0012
29,0.0396833,non-shadow,NSABHC0012
30,0.0455123,non-shadow,NSABHC0012
31,0.0490168,non-shadow,NSABHC0012
32,0.0482731,non-shadow,NSABHC0012
33,0.0431766,non-shadow,NSABHC0012
34,0.0364274,non-shadow,NSABHC0012
35,0.0403686,non-shadow,NSABHC0012
36,0.02219,shadow,NSABHC0012
37,0.0446965,non-shadow,NSABHC0012
38,0.0460189,non-shadow,NSABHC0012
39,0.0435645,non-shadow,NSABHC0012
40,0.0485549,non-shadow,NSABHC0012
41,0.0388271,non-shadow,NSABHC0012
42,0.0313197,shadow,NSABHC0012
43,0.0227924,shadow,NSABHC0012
44,0.0400088,non-shadow,NSABHC0012
45,0.0497253,non-shadow,NSABHC0012
46,0.0336515,shadow,NSABHC0012
47,0.0484336,non-shadow,NSABHC0012
48,0.0498981,non-shadow,NSABHC0012
49,0.044191,non-shadow,NSABHC0012
50,0.0458283,shadow,NSABHC0012
51,0.040957,shadow,NSABHC0012
52,0.0439429,non-shadow,NSABHC0012
53,0.044514,non-shadow,NSABHC0012
54,0.0407483,shadow,NSABHC0012
55,0.0366967,shadow,NSABHC0012
56,0.0452475,non-shadow,NSABHC0012
57,0.0492731,non-shadow,NSABHC0012
58,0.0382141,shadow,NSABHC0012
59,0.0269661,shadow,NSABHC0012
60,0.0444532,non-shadow,NSABHC0012
61,0.0345786,shadow,NSABHC0012
62,0.0474519,non-shadow,NSABHC0012
63,0.0382286,non-shadow,NSABHC0012
64,0.045658,non-shadow,NSABHC0012
65,0.0119042,non-shadow,NSABHC0012
66,0.0341626,shadow,NSABHC0012
67,0.0444438,non-shadow,NSABHC0012
68,0.0308523,shadow,NSABHC0012
69,0.0393655,non-shadow,NSABHC0012
70,0.035688,shadow,NSABHC0012
71,0.0155114,shadow,NSABHC0012
72,0.0486044,non-shadow,NSABHC0012
73,0.0461712,shadow,NSABHC0012
74,0.0497382,shadow,NSABHC0012
75,0.0358268,shadow,NSABHC0012
76,0.0365811,non-shadow,NSABHC0012
77,0.0417137,shadow,NSABHC0012
78,0.0478869,shadow,NSABHC0012
79,0.0458014,shadow,NSABHC0012
80,0.0425591,shadow,NSABHC0012
81,0.0477335,non-shadow,NSABHC0012
82,0.0417552,shadow,NSABHC0012
83,0.0367872,shadow,NSABHC0012
84,0.0369592,shadow,NSABHC0012
85,0.0415684,shadow,NSABHC0012
86,0.0338605,non-shadow,NSABHC0012
87,0.0331052,shadow,NSABHC0012
88,0.0469255,shadow,NSABHC0012
89,0.0497534,non-shadow,NSABHC0012
90,0.0464272,non-shadow,NSABHC0012
91,0.0439058,shadow,NSABHC0012
92,0.0412773,shadow,NSABHC0012
93,0.0486123,non-shadow,NSABHC0012
94,0.0234697,shadow,NSABHC0012
95,0.0468766,non-shadow,NSABHC0012
96,0.0415982,non-shadow,NSABHC0012
97,0.0291528,shadow,NSABHC0012
98,0.0336682,shadow,NSABHC0012
99,0.0172263,shadow,NSABHC0012
100,0.0422384,shadow,NSABHC0012
1,0.0656412,non-shadow,NSABHC0010
2,0.0602911,non-shadow,NSABHC0010
3,0.0647835,non-shadow,NSABHC0010
4,0.0570608,non-shadow,NSABHC0010
