point,ndvi,class,site
77,0.0980304,veg,NSABHC0011
68,0.0979826,veg,NSABHC0011
90,0.0971508,non-veg,NSABHC0011
2,0.0969301,veg,NSABHC0011
51,0.0965156,veg,NSABHC0011
16,0.0942988,veg,NSABHC0011
11,0.0877244,veg,NSABHC0011
69,0.0851696,veg,NSABHC0011
59,0.0812385,veg,NSABHC0011
91,0.0784843,non-veg,NSABHC0011
38,0.0759697,veg,NSABHC0011
56,0.075689,veg,NSABHC0011
80,0.0690776,veg,NSABHC0011
44,0.068408,veg,NSABHC0011
64,0.0682365,veg,NSABHC0011
34,0.0672574,non-veg,NSABHC0011
72,0.0652033,veg,NSABHC0011
8,0.0647774,veg,NSABHC0011
95,0.0639704,non-veg,NSABHC0011
88,0.0603581,non-veg,NSABHC0011
79,0.0599579,non-veg,NSABHC0011
27,0.0588326,non-veg,NSABHC0011
18,0.0584138,non-veg,NSABHC0011
12,0.0568829,veg,NSABHC0011
65,0.0543196,veg,NSABHC0011
60,0.0519355,non-veg,NSABHC0011
46,0.0481355,non-veg,NSABHC0011
7,0.0472304,veg,NSABHC0011
47,0.0471346,non-veg,NSABHC0011
19,0.0457795,veg,NSABHC0011
26,0.0435198,non-veg,NSABHC0011
43,0.0400073,veg,NSABHC0011
29,0.0346493,veg,NSABHC0011
48,0.0263402,non-veg,NSABHC0011
41,0.0245409,non-veg,NSABHC0011
20,0.0199701,non-veg,NSABHC0011
87,0.0075627,non-veg,NSABHC0011
49,0.0047073,non-veg,NSABHC0011
21,0.0045719,non-veg,NSABHC0011
81,0.0029059,non-veg,NSABHC0011
66,-0.0009593,veg,NSABHC0011
25,-0.0045504,non-veg,NSABHC0011
23,-0.0047968,non-veg,NSABHC0011
15,-0.0074282,non-veg,NSABHC0011
57,-0.0222741,non-veg,NSABHC0011
1,-0.0229755,non-veg,NSABHC0011
42,-0.0304701,non-veg,NSABHC0011
96,-0.0318019,non-veg,NSABHC0011
83,-0.038782,non-veg,NSABHC0011
13,-0.0417441,veg,NSABHC0011
62,-0.049877,veg,NSABHC0011
5,-0.0993252,non-veg,NSABHC0011
73,-0.1025255,non-veg,NSABHC0011
12,0.149777,veg,NSABHC0010
71,0.1315862,veg,NSABHC0010
49,0.1157796,veg,NSABHC0010
86,0.112945,veg,NSABHC0010
92,0.0947411,veg,NSABHC0010
33,0.0905122,veg,NSABHC0010
77,0.0810762,veg,NSABHC0010
75,0.0786434,veg,NSABHC0010
52,0.0737998,veg,NSABHC0010
65,0.0720741,veg,NSABHC0010
40,0.0643566,veg,NSABHC0010
64,0.0635991,veg,NSABHC0010
62,0.0601838,veg,NSABHC0010
37,0.0499828,non-veg,NSABHC0010
35,0.0499045,veg,NSABHC0010
6,0.044468,veg,NSABHC0010
34,0.0427938,veg,NSABHC0010
2,0.0411543,veg,NSABHC0010
59,0.0408666,veg,NSABHC0010
76,0.039784,veg,NSABHC0010
29,0.037135,non-veg,NSABHC0010
36,0.0368775,non-veg,NSABHC0010
85,0.0363637,veg,NSABHC0010
17,0.0351686,non-veg,NSABHC0010
56,0.0335425,veg,NSABHC0010
98,0.0319353,veg,NSABHC0010
20,0.0306667,non-veg,NSABHC0010
79,0.0268115,non-veg,NSABHC0010
73,0.0268008,non-veg,NSABHC0010
45,0.0265836,non-veg,NSABHC0010
43,0.0262563,non-veg,NSABHC0010
54,0.0254908,veg,NSABHC0010
46,0.0242885,veg,NSABHC0010
10,0.0219189,non-veg,NSABHC0010
8,0.0213556,non-veg,NSABHC0010
16,0.0213297,non-veg,NSABHC0010
38,0.02063,non-veg,NSABHC0010
74,0.020611,non-veg,NSABHC0010
23,0.0199409,non-veg,NSABHC0010
44,0.0196948,non-veg,NSABHC0010
18,0.0192128,non-veg,NSABHC0010
99,0.0186257,non-veg,NSABHC0010
50,0.0164814,non-veg,NSABHC0010
63,0.0160338,veg,NSABHC0010
48,0.0153952,non-veg,NSABHC0010
96,0.0153511,non-veg,NSABHC0010
61,0.0147942,non-veg,NSABHC0010
26,0.0132905,non-veg,NSABHC0010
32,0.0126586,non-veg,NSABHC0010
15,0.0118293,non-veg,NSABHC0010
53,0.0111946,non-veg,NSABHC0010
78,0.0105717,non-veg,NSABHC0010
67,0.009249,non-veg,NSABHC0010
89,0.009196,non-veg,NSABHC0010
93,0.0082223,non-veg,NSABHC0010
13,0.0080961,non-veg,NSABHC0010
91,0.0080757,veg,NSABHC0010
9,0.007272,non-veg,NSABHC0010
97,0.0070899,non-veg,NSABHC0010
25,0.0069801,non-veg,NSABHC0010
27,0.0062356,non-veg,NSABHC0010
5,0.0060876,non-veg,NSABHC0010
55,0.0058071,non-veg,NSABHC0010
87,0.0057151,non-veg,NSABHC0010
57,0.0056574,non-veg,NSABHC0010
58,0.005035,non-veg,NSABHC0010
14,0.0035188,non-veg,NSABHC0010
28,0.0030415,non-veg,NSABHC0010
7,0.0023763,non-veg,NSABHC0010
4,0.0019189,non-veg,NSABHC0010
39,0.0018152,non-veg,NSABHC0010
19,0.0016511,non-veg,NSABHC0010
72,0.0005261,non-veg,NSABHC0010
90,0.0001619,non-veg,NSABHC0010
21,-0.0001106,non-veg,NSABHC0010
95,-0.0004041,non-veg,NSABHC0010
11,-0.0011298,non-veg,NSABHC0010
47,-0.0013307,non-veg,NSABHC0010
22,-0.0020492,non-veg,NSABHC0010
30,-0.0023207,non-veg,NSABHC0010
94,-0.003434,non-veg,NSABHC0010
81,-0.0037216,non-veg,NSABHC0010
3,-0.00373,non-veg,NSABHC0010
24,-0.0052607,non-veg,NSABHC0010
66,-0.0057251,non-veg,NSABHC0010
68,-0.0061381,non-veg,NSABHC0010
88,-0.0074999,non-veg,NSABHC0010
70,-0.0076125,non-veg,NSABHC0010
60,-0.0077136,non-veg,NSABHC0010
42,-0.0078173,non-veg,NSABHC0010
41,-0.0081933,non-veg,NSABHC0010
1,-0.00867,non-veg,NSABHC0010
69,-0.0092697,non-veg,NSABHC0010
82,-0.0135776,non-veg,NSABHC0010
84,-0.0138309,non-veg,NSABHC0010
80,-0.0152448,non-veg,NSABHC0010
83,-0.0179368,non-veg,NSABHC0010
100,-0.0179828,non-veg,NSABHC0010
51,-0.0215229,non-veg,NSABHC0010
31,-0.0282936,non-veg,NSABHC0010
6,0.2480614,veg,NSABHC0009
4,0.2252848,veg,NSABHC0009
11,0.208067,veg,NSABHC0009
8,0.1975876,veg,NSABHC0009
33,0.1809226,veg,NSABHC0009
53,0.1793481,veg,NSABHC0009
42,0.1680029,veg,NSABHC0009
16,0.1662837,veg,NSABHC0009
96,0.1646784,veg,NSABHC0009
1,0.1554173,veg,NSABHC0009
19,0.1520667,veg,NSABHC0009
74,0.1471156,veg,NSABHC0009
73,0.1469331,veg,NSABHC0009
81,0.1442519,veg,NSABHC0009
32,0.1432496,veg,NSABHC0009
3,0.1401909,veg,NSABHC0009
36,0.139164,veg,NSABHC0009
18,0.1358254,veg,NSABHC0009
9,0.1343504,veg,NSABHC0009
67,0.1331065,veg,NSABHC0009
10,0.1309756,veg,NSABHC0009
